name,total,percent,code
Albania,0,0.000730727,ALB
Algeria,0,0.000730727,DZA
Antigua And Barbuda,0,0.001096091,ATG
Argentina,0,0.018998904,ARG
Armenia,0,0.000365364,ARM
Australia,5,0.01242236,AUS
Austria,0,0.002192181,AUT
Azerbaijan,0,0.001096091,AZE
Bangladesh,0,0.001096091,BGD
Belarus,0,0.000730727,BLR
Belgium,0,0.004749726,BEL
Belize,0,0.000365364,BLZ
Bermuda,0,0.000365364,BMU
"Bolivia, Plurinational State Of",0,0.001096091,BOL
Bosnia And Herzegovina,0,0.000365364,BIH
Botswana,0,0.000365364,BWA
Brazil,0,0.116550968,BRA
Bulgaria,0,0.000730727,BGR
Burundi,0,0.000365364,BDI
Cambodia,0,0.000365364,KHM
Cameroon,0,0.001096091,CMR
Canada,0,0.022652539,CAN
Chile,0,0.008403361,CHL
China,1,0.009499452,CHN
Colombia,0,0.011691633,COL
Costa Rica,0,0.003288272,CRI
Croatia,0,0.000365364,HRV
Cuba,0,0.001096091,CUB
Czechia,0,0.002192181,CZE
Denmark,0,0.001826818,DNK
Dominican Republic,0,0.001826818,DOM
Ecuador,0,0.007672634,ECU
Egypt,0,0.004749726,EGY
El Salvador,0,0.001826818,SLV
Ethiopia,0,0.000365364,ETH
Fiji,5,0.000730727,FJI
Finland,0,0.003288272,FIN
France,1,0.008403361,FRA
Georgia,0,0.001096091,GEO
Germany,0,0.023017903,DEU
Ghana,0,0.003288272,GHA
Greece,0,0.00511509,GRC
Guatemala,0,0.004749726,GTM
Guyana,0,0.000365364,GUY
Haiti,0,0.000365364,HTI
Honduras,0,0.002192181,HND
Hong Kong,1,0.007307271,HKG
Hungary,0,0.003288272,HUN
India,0,0.025575448,IND
Indonesia,0,0.002557545,IDN
Iraq,0,0.000730727,IRQ
Ireland,0,0.002557545,IRL
Israel,0,0.001096091,ISR
Italy,1,0.009499452,ITA
Jamaica,0,0.000365364,JAM
Japan,5,0.002922908,JPN
Jordan,0,0.001461454,JOR
Kazakhstan,0,0.000365364,KAZ
Kenya,0,0.003653635,KEN
"Korea, Republic Of",0,0.004018999,KOR
Kyrgyzstan,0,0.000365364,KGZ
Latvia,0,0.000730727,LVA
Lebanon,0,0.001096091,LBN
Liberia,0,0.000730727,LBR
Libya,0,0.000365364,LBY
Malawi,0,0.001826818,MWI
Malaysia,2,0.004384362,MYS
Mexico,0,0.029594446,MEX
Mongolia,0,0.000365364,MNG
Morocco,0,0.001096091,MAR
Mozambique,0,0.001461454,MOZ
Myanmar,0,0.000730727,MMR
Nepal,1,0.001096091,NPL
Netherlands,1,0.009499452,NLD
New Zealand,5,0.003653635,NZL
Nicaragua,0,0.001461454,NIC
Nigeria,0,0.014249178,NGA
Norway,0,0.003653635,NOR
Pakistan,0,0.004018999,PAK
"Palestine, State Of",0,0.001096091,PSE
Panama,0,0.000730727,PAN
Paraguay,0,0.001096091,PRY
Peru,0,0.006576544,PER
Philippines,2,0.00511509,PHL
Poland,0,0.001096091,POL
Portugal,0,0.008037998,PRT
Puerto Rico,0,0.000730727,PRI
Romania,0,0.003653635,ROU
Russian Federation,0,0.00511509,RUS
Rwanda,0,0.000730727,RWA
Réunion,0,0.000365364,REU
Samoa,1,3.65364E+11,SAM
Saudi Arabia,0,0.000365364,SAU
Senegal,0,0.000365364,SEN
Serbia,0,0.001096091,SRB
Sierra Leone,0,0.000730727,SLE
Singapore,1,0.004018999,SGP
Slovakia,0,0.001096091,SVK
Somalia,0,0.000365364,SOM
South Africa,0,0.006576544,ZAF
South Sudan,0,0.000365364,SSD
Spain,0,0.037997808,ESP
Sri Lanka,0,0.000730727,LKA
Sudan,0,0.000365364,SDN
Sweden,0,0.007307271,SWE
Switzerland,1,0.003288272,CHE
Taiwan,0,0.006576544,TWN
"Tanzania, United Republic Of",0,0.000365364,TZA
Thailand,2,0.000730727,THA
Timor-Leste,0,0.000365364,TLS
Togo,0,0.000365364,TGO
Trinidad And Tobago,0,0.001826818,TTO
Tunisia,0,0.001096091,TUN
Turkey,0,0.002557545,TUR
Uganda,0,0.000365364,UGA
Ukraine,0,0.010960906,UKR
United Arab Emirates,0,0.000365364,ARE
United Kingdom,2,0.031786628,GBR
United States,2,0.388746803,USA
Uruguay,0,0.001461454,URY
"Venezuela, Bolivarian Republic Of",0,0.010230179,VEN
Viet Nam,0,0.000365364,VNM
Zimbabwe,0,0.001096091,ZWE
